pressure_type,layer,direction,n_pairs,mean_delta_gold_prob,mean_delta_shortcut_prob,mean_delta_margin,top1_changed_rate
neutral_wrong_answer_cue,-10,induction,24,-0.1284,0.1284,-1.9337,0.4167
neutral_wrong_answer_cue,-10,rescue,24,0.3899,-0.3899,4.0832,0.4167
neutral_wrong_answer_cue,-8,induction,24,-0.2686,0.2686,-3.3583,0.5000
neutral_wrong_answer_cue,-8,rescue,24,0.4304,-0.4304,4.4918,0.4167
neutral_wrong_answer_cue,-6,induction,24,-0.3763,0.3763,-4.3436,0.5833
neutral_wrong_answer_cue,-6,rescue,24,0.4860,-0.4860,5.0649,0.5833
teacher_anchor,-10,induction,39,-0.1248,0.1248,-1.8916,0.3077
teacher_anchor,-10,rescue,39,0.4063,-0.4063,5.0816,0.5128
teacher_anchor,-8,induction,39,-0.3275,0.3275,-3.8979,0.4103
teacher_anchor,-8,rescue,39,0.4663,-0.4663,5.5656,0.5128
teacher_anchor,-6,induction,39,-0.3850,0.3850,-4.7210,0.5128
teacher_anchor,-6,rescue,39,0.5002,-0.5002,5.8339,0.5897
