pressure_type,layer,direction,n_pairs,mean_delta_gold_prob,mean_delta_shortcut_prob,mean_delta_margin,top1_changed_rate
neutral_wrong_answer_cue,-10,induction,146,-0.3898,0.3898,-4.7270,0.6507
neutral_wrong_answer_cue,-10,rescue,146,0.5799,-0.5799,6.8763,0.7123
neutral_wrong_answer_cue,-8,induction,146,-0.4104,0.4104,-4.9810,0.6438
neutral_wrong_answer_cue,-8,rescue,146,0.5752,-0.5752,6.8761,0.7123
neutral_wrong_answer_cue,-6,induction,146,-0.5811,0.5811,-7.3429,0.8288
neutral_wrong_answer_cue,-6,rescue,146,0.6488,-0.6488,7.6844,0.8219
neutral_wrong_answer_cue,-4,induction,146,-0.6169,0.6169,-7.6723,0.8493
neutral_wrong_answer_cue,-4,rescue,146,0.6653,-0.6653,7.9344,0.8562
neutral_wrong_answer_cue,-2,induction,146,-0.6279,0.6279,-7.7716,0.8699
neutral_wrong_answer_cue,-2,rescue,146,0.6577,-0.6577,7.8509,0.8630
neutral_wrong_answer_cue,-1,induction,146,-0.5919,0.5919,-6.8940,0.8493
neutral_wrong_answer_cue,-1,rescue,146,0.6404,-0.6404,7.4006,0.8630
teacher_anchor,-10,induction,126,-0.3516,0.3516,-4.1402,0.5714
teacher_anchor,-10,rescue,126,0.5372,-0.5372,5.8887,0.7143
teacher_anchor,-8,induction,126,-0.3721,0.3721,-4.3877,0.6032
teacher_anchor,-8,rescue,126,0.5329,-0.5329,5.8760,0.6984
teacher_anchor,-6,induction,126,-0.5717,0.5717,-6.6635,0.8413
teacher_anchor,-6,rescue,126,0.6180,-0.6180,6.7403,0.8333
teacher_anchor,-4,induction,126,-0.5894,0.5894,-6.8559,0.8810
teacher_anchor,-4,rescue,126,0.6340,-0.6340,6.9691,0.8571
teacher_anchor,-2,induction,126,-0.5954,0.5954,-6.9136,0.8810
teacher_anchor,-2,rescue,126,0.6335,-0.6335,6.9531,0.8889
teacher_anchor,-1,induction,126,-0.5575,0.5575,-6.1031,0.8810
teacher_anchor,-1,rescue,126,0.6144,-0.6144,6.5293,0.8810
